"","site","Taxon","avgSLA","avgLeaf.area"
"1",1,"Aphananthe philippinensis",158.600720428571,8.00114285714286
"2",1,"Castanospermum australe",226.177949,28.4685
"3",1,"Cleistanthus cunninghamii",233.92141055,13.7425
"4",1,"Cryptocarya obovata",129.9438903,62.703
"5",1,"Cryptocarya triplinervis",209.097869933333,15.5061666666667
"6",1,"Ficus coronata",191.175011,34.577
"7",1,"Grevillea robusta",114.8579689,116.052
"8",1,"Mallotus philippensis",206.9770677,32.847
"9",1,"Streblus brunonianus",248.8002098,15.7783333333333
"10",4,"Aphananthe philippinensis",183.0862097,2.266
"11",4,"Mallotus philippensis",217.14579685,39.816
"12",5,"Callistemon viminalis",77.83176551,3.535
"13",5,"Casuarina cunninghamiana",26.50923593875,1.120625
"14",12,"Argyrodendron trifoliolatum",126.0027611,22.281
"15",12,"Cryptocarya triplinervis",129.2571492,13.042
"16",12,"Ligustrum sinensis",428.41851295,3.6995
"17",12,"Syzygium australae",161.7224236,10.419
"18",17,"Aphananthe philippinensis",122.3707656,2.605
"19",17,"Callistemon viminalis",105.2503171,3.792
"20",17,"Cupaniopsis anarcoides",82.67044811,11.727
"21",17,"Hymenosporum flavum",147.1574702,27.857
"22",17,"Mallotus philippensis",147.638681166667,50.1273333333333
"23",19,"Enidandra discolor",118.50886464,19.5572
"24",19,"Guioa semiglauca",156.8643903,14.6436666666667
"25",25,"Ficus coronata",168.2307866,23.5836666666667
"26",25,"Grevillea robusta",105.406645386667,30.6523333333333
"27",25,"Streblus brunonianus",172.626691,9.30775
"28",26,"Cleistanthus cunninghamii",191.538969866667,11.512
"29",26,"Cryptocarya laevigata ",163.076491766667,15.3693333333333
"30",28,"Castanospermum australe",201.25228412,20.5552
"31",28,"Celtis sinensis",238.60627568,10.7586
"32",28,"Grevillea robusta",144.79070355,28.242
"33",29,"Cinnamomum camphora",164.4677541,11.128
"34",29,"Guioa semiglauca",106.271624,14.777
"35",29,"Lantana camara",323.79513785,34.583
"36",29,"Ligustrum lucidum",164.3672259,14.0416
"37",29,"Mallotus philippensis",193.4301946,51.384
"38",29,"Neolitsea dealbata",119.12951215,55.9465
"39",29,"Synoum glandulosum",193.16735165,26.38075
"40",29,"Wilkea huegeliana",103.8166488825,26.39525
"41",30,"Cryptocarya obovata",120.9116055,71.423
"42",30,"Neolitsea dealbata",132.010114566667,60.9663333333333
"43",30,"Sloenea australis",165.04077955,46.346
"44",30,"Wilkea huegeliana",123.75611585,30.3035
"45",35,"Argyrodendron trifoliolatum",136.0467623,27.192
"46",35,"Cleistanthus cunninghamii",205.682624916667,17.4461666666667
"47",35,"Cryptocarya laevigata ",152.70593995,17.28425
"48",35,"Cryptocarya obovata",146.61406528,38.4326
"49",35,"Elattostachys nervosa",176.3055773,21.059
"50",35,"Glochidion ferdinandi",263.5716385,26.659
"51",35,"Guioa semiglauca",158.5108397,10.4873333333333
"52",35,"Mallotus claoxyloides",170.6017648,28.5575
"53",35,"Neolitsea dealbata",163.0732369,56.247
"54",35,"Sloenea australis",172.6399139,80.784
"55",41,"Callistemon viminalis",77.2893307,2.064
"56",41,"Celtis sinensis",392.06720165,8.276
"57",41,"Ficus coronata",156.4193578,41.381
"58",41,"Grevillea robusta",123.2354931,43.236
