Taxon,vine
Andredera cordifoli,1
Aristolochia elegans,1
Asparagus plumosus,1
Calamus muelleri,1
Carronia multisepalea,1
Capparis velutina,1
Cardiospermum grandiflorum,1
Cayratia clematidea,1
Cissus antarctica,1
Cissus hypoglauca,1
Clematis aristata,1
Derris involuta,1
Desmodium spp,1
Dioscorea transversa,1
Elaeagnus triflora ,1
embelia australis,1
Flagellaria indica,1
Geitonoplesium cymosum,1
Hippocratea barbata,1
Ipomoea cairica,1
Legnephora moorei,1
Macfadyena unguis-cati,1
Maclura cochinchinensis,1
Marsdenia rostrata,1
Melodinus australis,1
Melodorum leichhardtii,1
Millettia megasperma,1
Morinda jasminoides,1
Pandorea pandorana,1
Parsonsia straminea,1
Passiflora edulis,1
Passiflora suberosa,1
Passiflora subpeltata,1
Piper hederaceum,1
Pothos longipes,1
Ripogonum spp,1
Rubus spp,1
Rubus moluccanus,1
Rubus rosifolius,1
Smilax australis,1
Solanum seaforthianum,1
Stephania japonica,1
Trophis scandens,1
