"","x"
"Acacia.bakeri",1
"Acacia.fimbriata",2
"Acmena.smithii",1
"Acronychia.oblongifolia",1
"Ailanthus.triphysa",3
"Alangium.villosum",3
"Alectryon.tomentosus",2
"Alphitonia.excelsa",1
"Alyxia.ruscifolia",4
"Aphananthe.philippinensis",1
"Archirhodomyrtus.beckleri",2
"Archontophoenix.spp",3
"Argyrodendron.trifoliolatum",1
"Aristolochia.elegans",5
"Arytera.distylis",1
"Arytera.divaricata",1
"Atalaya.salicifolia",2
"Auranticarpa.rhombifolia",1
"Backhousia.myrtifolia",1
"Beilschmiedia.obtusifolia",1
"Breynia.oblongifolia",4
"Bursaria.incana",4
"Calamus.muelleri",6
"Callerya.megasperma",6
"Callistemon.salignus",2
"Callistemon.viminalis",2
"Canarium.australasicum",1
"Capparis.arborea",4
"Cardiospermum.grandiflorum",5
"Carex.appressa",7
"Carex.spp",7
"Carissa.ovata",4
"Carronia.multisepalea",6
"Castanospermum.australe",1
"Casuarina.cunninghamiana",2
"Cayratia.clematidea",5
"Celtis.sinensis",3
"Cinnamomum.camphora",3
"Cinnamomum.oliveri",1
"Cissus.antarctica",6
"Cissus.hypoglauca",6
"Citronella.moorei",1
"Cleistanthus.cunninghamii",1
"Clematis.aristata",5
"Clerodendrum.floribundum",2
"Commersonia.bartramia",3
"Cryptocarya.bidwillii",1
"Cryptocarya.glaucescens",1
"Cryptocarya.laevigata",4
"Cryptocarya.obovata",1
"Cryptocarya.triplinervis",1
"Cupaniopsis.anacardioides",2
"Cyperus.involucratus",7
"Cyperus.spp",7
"Daphnandra.tenuipes",3
"Derris.involuta",6
"Desmodium.spp",5
"Dioscorea.transversa",5
"Diospyros.australis",1
"Diospyros.ellipticifolia",2
"Diospyros.fasciculosa",1
"Diospyros.pentamera",1
"Diploglottis.australis",1
"Drypetes.deplanchei",1
"Dysoxylum.rufum",3
"Elaeocarpus.grandis",1
"Elaeocarpus.obovatus",1
"Elattostachys.nervosa",3
"Elattostachys.xylocarpa",1
"Embelia.australiana",6
"Endiandra.discolor",1
"Endiandra.globosa",1
"Endiandra.pubens",1
"Endiandra.sieberi",1
"Eugenia.uniflora",4
"Eupomatia.laurina",3
"Euroschinus.falcatus",3
"Ficus.coronata",3
"Ficus.fraseri",3
"Ficus.obliqua",3
"Ficus.opposita",2
"Ficus.racemosa",3
"Ficus.virens",3
"Ficus.watkinsiana",3
"Flagellaria.indica",6
"Flindersia.schottiana",1
"Geitonoplesium.cymosum",5
"Glochidion.ferdinandi",3
"Grevillea.robusta",1
"Guioa.semiglauca",1
"Helicia.glabriflora",1
"Hippocratea.barbata",6
"Hodgkinsonia.ovatiflora",1
"Hymenosporum.flavum",1
"Ixora.beckleri",2
"Jagera.pseudorhus",1
"Lantana.camara",4
"Legnephora.moorei",6
"Leucaena.leucocephala",2
"Ligustrum.lucidum",2
"Ligustrum.sinense",4
"Lomandra.hystrix",7
"Lomandra.longifolia",7
"Lomandra.sp",7
"Lophostemon.confertus",1
"Lophostemon.suaveolens",1
"Macadamia.tetraphylla",3
"Macfadyena.unguiscati",6
"Maclura.cochinchinensis",6
"Mallotus.claoxyloides",2
"Mallotus.philippensis",3
"Marsdenia.rostrata",6
"Melaleuca.bracteata",2
"Melaleuca.quinquenervia",2
"Melaleuca.spp",2
"Melia.azedarach",3
"Micromelum.minutum",3
"Mischocarpus.pyriformis",1
"Morinda.jasminoides",6
"Myrsine.variabilis",4
"Neolitsea.dealbata",3
"Notelaea.longifolia",2
"Notelaea.microcarpa",4
"Ochna.serrulata",4
"Olea.paniculata",1
"Pandorea.pandorana",6
"Pararchidendron.pruinosum",3
"Parsonsia.straminea",6
"Passiflora.edulis",5
"Pavetta.australiensis",4
"Pittosporum.multiflorum",2
"Pittosporum.undulatum",1
"Planchonella.australis",1
"Polyscias.elegans",3
"Pothos.longipes",6
"Pseudoweinmannia.lachnocarpa",1
"Psychotria.daphnoides",4
"Psychotria.loniceroides",4
"Pteridium.esculentum",4
"Rhodamnia.argentea",1
"Rhodamnia.rubescens",1
"Rhodomyrtus.psidioides",1
"Rhodosphaera.rhodanthema",1
"Ricinus.communis",4
"Ripogonum.spp",6
"Rubus.moluccanus",6
"Rubus.rosifolius",6
"Sarcopteryx.stipata",1
"Schefflera.actinophylla",3
"Schoenoplectus.validus",7
"Senna.pendula",4
"Senna.septemtrionalis",4
"Sloanea.australis",3
"Sloanea.woollsii",1
"Smilax.australis",6
"Solanum.mauritianum",2
"Stephania.japonica",5
"Sterculia.quadrifida",3
"Streblus.brunonianus",3
"Synoum.glandulosum",3
"Syzygium.australe",1
"Syzygium.floribundum",1
"Syzygium.luehmannii",1
"Syzygium.oleosum",2
"Tabernaemontana.pandacaqui",4
"Tecoma.capensis",4
"Tecoma.stans",2
"Toechima.tenax",1
"Toona.ciliata",3
"Trema.tomentosa",2
"Tristaniopsis.laurina",1
"Trophis.scandens",6
"Wikstroemia.indica",4
"Wilkiea.huegeliana",4
